Vehicle_Type,Tested_Transmission_Type,Transmission_Lockup_,Police___Emergency_Vehicle_,newtransmission,Test_Veh_Displacement__L_,Rated_Horsepower,__of_Gears,Equivalent_Test_Weight__lbs__,Axle_Ratio,N_V_Ratio,Three_cat,THC_bin,CO_bin,CO2_cat,NOx_cat,MPG,Rownum
Bot,Automatic,Y,N,Automatic,2.4,173,6,4250,2.24,29,Medium,,,,,40.9,7793
Car,Automatic,Y,N,Automatic,6.4,470,5,4750,3.06,31,Low,High,High,High,Medium,17.4,7794
Car,Automatic,Y,N,Automatic,6.4,470,5,4750,3.06,31,Low,Low,Low,Medium,Medium,31.8,7795
Car,Automatic,Y,N,Automatic,5.7,359,5,4750,3.06,30.3,Low,High,High,High,Medium,18.1,7796
Car,Automatic,Y,N,Automatic,5.7,359,5,4750,3.06,30.3,Low,Low,Low,Medium,High,32.7,7797
Car,Automatic,Y,N,Automatic,5.7,359,5,4750,3.06,30.3,Low,Low,Low,Medium,High,32.5,7798
Car,Automatic,Y,N,Automatic,5.7,359,5,4750,3.06,30.3,Low,High,High,High,Medium,18.2,7799
Car,Automatic,Y,N,Automatic,3.6,292,8,4500,3.07,36.6,Low,High,High,Medium,Medium,16.8,7800
Car,Automatic,Y,N,Automatic,3.6,292,8,4500,3.07,36.6,Low,Low,Low,Low,Low,27.8,7801
Car,Automatic,Y,N,Automatic,5.7,340,5,4500,2.65,26.8,Low,High,High,High,Medium,19.3,7802
Car,Automatic,Y,N,Automatic,5.7,340,5,4500,2.65,26.8,Low,Low,Low,Medium,Medium,34.5,7803
Bot,Automatic,Y,N,Automatic,3.6,283,6,4750,2.06,26.4,Low,High,High,High,Medium,15.1,7804
Bot,Automatic,Y,N,Automatic,3.6,283,6,4750,2.06,26.4,Low,Low,Low,Medium,High,24.8,7805
Bot,Automatic,Y,N,Automatic,3.6,283,6,4750,2.06,26.4,Low,High,High,High,High,21.4,7806
Bot,Automatic,Y,N,Automatic,3.6,283,6,4750,2.06,26.4,Medium,Low,Low,Medium,High,35,7807
Bot,Automatic,Y,N,Automatic,3.6,283,6,4750,2.06,26.4,Medium,Low,Low,Medium,High,35,7808
Bot,Automatic,Y,N,Automatic,2.4,283,4,3750,2.69,34.9,Low,,,,,26.5,7809
Bot,Automatic,Y,N,Automatic,2.4,283,4,3750,2.69,34.9,Medium,,,,,41.5,7810
Bot,Automatic,Y,N,Automatic,3.6,283,6,3875,2.06,26.7,Low,Low,Low,Low,Low,29.2,7811
Bot,Automatic,Y,N,Automatic,3.6,283,6,3875,2.06,26.7,Low,Low,High,Medium,Medium,17.1,7812
Bot,Automatic,Y,N,Automatic,3.6,283,6,3875,2.06,26.7,Low,High,High,Medium,Medium,23.7,7813
Bot,Automatic,Y,N,Automatic,3.6,283,6,3875,2.06,26.7,Medium,Low,Low,Low,Low,40.5,7814
Bot,Manual,N,N,Manual,2,158,5,3250,2.97,39.7,Low,High,High,Medium,Medium,30.6,7815
Bot,Manual,N,N,Manual,2,158,5,3250,2.97,39.7,Medium,Low,Low,Low,Low,45,7816
Bot,Continuously Var,N,N,,2.4,172,1,3500,2.28,28.9,Medium,Low,Low,Low,Low,38.4,7817
Bot,Continuously Var,N,N,,2.4,172,1,3500,2.28,28.9,Low,High,Low,Medium,Medium,27.5,7818
Bot,Continuously Var,N,N,,2.4,172,1,3625,2.28,28.2,Medium,,,,,35.9,7819
Bot,Continuously Var,N,N,,2.4,172,1,3625,2.28,28.2,Low,,,,,26.3,7820
Bot,Continuously Var,Y,N,,2,172,1,3375,2.41,31,Low,High,Low,Medium,Medium,29.3,7821
Bot,Continuously Var,Y,N,,2,172,1,3375,2.41,31,Low,High,High,Medium,Medium,28.5,7822
Bot,Continuously Var,Y,N,,2,172,1,3375,2.41,31,Medium,Low,Low,Low,Low,38,7823
